Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,198.25,-39.975,90,top
C2,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,203.3,-52.725,270,top
C3,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,199.6,-52.775,270,top
C4,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,177.025,-34,0,top
C5,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,168.975,-34,180,top
C6,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.5,-40.025,270,top
C7,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,141.125,-80.5,0,top
C8,1nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,192.5,-65.975,270,top
C9,1nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,192.5,-57.975,90,top
C10,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,169,-92,180,top
F1,Polyfuse_Small,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,194.3,-42.6125,270,top
R1,2.2K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,184.5,-80.725,90,top
R2,47k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.5,-104.725,270,top
R3,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.5,-110.225,270,top
R4,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.5,-121.775,270,top
R5,22k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,192.5,-104.725,90,top
R6,47k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,192.5,-115.975,270,top
R7,100k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,192.5,-121.525,270,top
R8,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,168.975,-87,0,top
R9,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,175.975,-82,0,top
R10,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,175.975,-86,0,top
R11,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,175.975,-90,0,top
R12,2.2K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.5,-116.025,90,top
R13,2.2K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.5,-127.525,270,top
R14,2.2K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,192.5,-127.475,90,top
R15,2.2K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,192.5,-110.275,90,top
R16,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,175.975,-94,0,top
R17,220,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.475,-80.5,0,top
R18,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.55,-84.3,0,top
R19,470,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,141.075,-84.3,0,top
R20,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,145.575,-84.3,0,top
R21,1500,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150.075,-84.3,0,top
R22,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.8,-80.675,90,top
U1,AMS1117-5.0,SOT-223-3_TabPin2,201.5,-46.7,0,top
U3,ADuM1201AR,SOIC-8_3.9x4.9mm_P1.27mm,173,-29,90,top
U5,ULN2803A,SOIC-18W_7.5x11.6mm_P1.27mm,158.75,-89,90,top
